category_id,category_name,category_slug,listing_id,listing_title,listing_url,tagline,address,email,phone,description,category_names
1569,Beauty,beauticians,6297,Altinbas Australia,https://ummahdirectory.com.au/victoria/altinbas-australia/,European inspired jewellery in the heart of Coolaroo,"Suite 118/1510 Pascoe Vale Rd, Coolaroo VIC 3048",,(03) 9305 4803,"The official Facebook page of Altinbas Australia. The leader in European gold, silver and diamond jewellery located in Coolaroo.
Suite 118/1510 Pascoe Vale Rd, Coolaroo VIC 3048
(03) 9305 4803","[""Beauty"", ""Jewellery"", ""Victoria""]"
1569,Beauty,beauticians,4959,The Nutrition Corner,https://ummahdirectory.com.au/victoria/the-nutrition-corner/,Health and wellness store in Somerton run by qualified nutritionist,"Unit 4/882 Cooper St, Somerton VIC 3062",nfo@thenutritioncorner.org,0410 189 771,"Welcome to The Nutrition Corner, where all your health needs are in the one place located in the heart of Somerton.
We are a family business and have been in health and wellness for over 10 years! We believe that everyone should be entitled to good quality affordable produce, healthy low toxic products and sound information to help them set the foundations to a happy healthy home and this is what we are here for!
Products/Services: Health Food Store – Led by qualified nutritionist, Betul has 10+ years’ experience in health and wellness.
Products ranging from, organic pantry, snacks, herbal tea, low tox cleaning products, makeup, organic skincare and supplements.
Also provide an instore clinic with two qualified practitioners- a Naturopath, and a Chinese Medicine Practitioner.
Shop for
New Arrivals and more online
Unit 4/882 Cooper St, Somerton VIC 3062
info@thenutritioncorner.org
0410 189 771","[""Beauty"", ""Nutrition"", ""Victoria""]"
1476,Charities,charities,4371,Project Us Foundation,https://ummahdirectory.com.au/charities/project-us-foundation/,Hejaz led charity supporting muslims in need in Australia and abroad,Braybrook VIC 3019,support@projectusfoundation.org,(03) 9917 7521,"Project Us Foundation is an Australian Not-For-Profit creating economic and social impact in the lives of Muslims in need via community, children and elderly programs in Australia and overseas.
100% Donation Policy – Zakat and Sadaqah
A Hejaz Initiative
✓
Registered Charity
✓
Tax Deductible
Braybrook VIC 3019
support@projectusfoundation.org
(03) 9917 7521","[""Charities"", ""Victoria""]"
1476,Charities,charities,4317,Al Ihsan Foundation,https://ummahdirectory.com.au/charities/al-ihsan-foundation/,Charity and international public relief organisation established in 2014,"176 Waldron Rd, Chester Hill NSW 2162",info@alihsan.org.au,1300 998 444,"In 2014, Al-Ihsan Foundation was established by compassionate and dedicated individuals, including Abu Ahmad and Ahmed Dannoun, along with other caring members of the wider Sydney community. A spark of compassion ignited within our hearts, prompted by the challenges posed by the Somalia famine and the devastating Syrian war at that time.
As witnesses to the heart-wrenching challenges of the Somalia famine and the harrowing Syrian war, we couldn’t remain mere spectators; we felt compelled to become part of the solution. Driven by an unwavering commitment to make an impactful difference, we recognised the urgent need for action, compelling us to initiate lasting change. Al-Ihsan Foundation was born from our shared belief that we can be change-makers for lasting transformation.
We chose the name Ihsan, meaning `perfection` or `excellence. Our aspiration is to lead in providing aid and assistance to the most vulnerable and often forgotten members of our society. We hold firmly to our principles of carrying out our work with Ihsan, compassion, empathy, and dignity.
✓
Registered Charity
✓
Tax Deductible
176 Waldron Rd, Chester Hill NSW 2162
info@alihsan.org.au
1300 998 444","[""Charities"", ""Victoria""]"
1476,Charities,charities,3284,Halal Food Bank Melbourne,https://ummahdirectory.com.au/charities/halal-food-bank-melbourne/,Charity established in 2011 providing halal nutritional food to those in need,"Unit 1/26 Amcor Way, Campbellfield VIC 3061",info@halalfoodbankmelbourne.com.au%20,0406 444 326,"In 2011, Halal Food Bank began as a humble community initiative with a small group of volunteers who would collect, sort, pack and distribute food donations to partner organisations to provide to their clientele. Our Food Bank focuses on Halal food, however anyone in need is welcome to receive support
Halal Food Bank Melbourne is run entirely by volunteers and purely with donations, and aims to provide halal, nutritional food to needy families, those who require crisis support, and asylum seekers on a monthly basis.
✓
Registered Charity
✓
Tax Deductible
Unit 1/26 Amcor Way, Campbellfield VIC 3061
E-Mail
0406 444 326","[""Charities""]"
1476,Charities,charities,1684,Penny Appeal Australia,https://ummahdirectory.com.au/charities/penny-appeal-australia/,Charity and international aid organisation focused on poverty alleviation,"Level 4 / 4 Kent St, Belmore NSW 2192",bigdifference@pennyappeal.org.au,1300 347 947,"Penny Appeal’s way of doing charity is simple and has a massive impact. We make charitable giving affordable and rewardable, ensuring everyone can help the poor and needy by donating just a few pennies each day.
“We take small change and make a big difference with it.”
✓
Registered Charity
✓
Tax Deductible
Level 4 / 4 Kent St, Belmore NSW 2192
E-Mail
1300 347 947","[""Charities""]"
1476,Charities,charities,1574,Ummah Aid,https://ummahdirectory.com.au/charities/ummah-aid/,Charity and international aid organisation focused on alleviating poverty worldwide,Narre Warren North VIC 3804,admin@ummahaid.org.au,0402510326,"*Not affiliated with Ummah Directory
Ummah Aid is a not-for-profit organisation established by volunteers who are driven by their faith and want to make a difference in alleviating poverty and suffering worldwide. We do this by focusing on specific areas of need that impact many communities in the developing world. These include building water wells, providing emergency food relief, delivering medical aid and sponsoring orphans.
We assist with the short-term and long-term needs of communities. This includes responding quickly with aid to disaster victims and creating long-term solutions for communities, such as water wells, to promote healthy souls and bodies.
All donations we receive go 100% to the projects selected by donors. Administrative costs are funded from within the organisation, so we maximise the impact of donations to help those who need it most.
✓
Registered Charity
✓
Tax Deductible
Narre Warren North VIC 3804
E-Mail
0402510326","[""Charities""]"
1413,Clothing,clothing,7961,Shariah Collections,https://ummahdirectory.com.au/clothing/shariah-collections/,"Online hijab, abaya and modest clothing",Broadmeadows VIC 3047,Shariahcollections@gmail.com,0422 729 032,"At Shariah Collections, we are passionate about redefining modest fashion for Muslim women. Our journey began with a vision: to create clothing that reflects both elegance and practicality while staying true to the principles of modesty.
We understand the importance of comfort and functionality in everyday wear, which is why our designs feature lightweight, breathable, and wrinkle-free fabrics. Beyond comfort, we saw the need for a truly fuss-free khimar, one that is tie-back free and offers complete coverage without exposing any part of the hair or face. This commitment to solving real challenges in modest fashion inspired us to create designs that blend simplicity with sophistication.
Each piece in our collection is crafted with care, using only the finest fabrics and the utmost attention to detail. Our khimars and abayas are thoughtfully designed to prioritise modesty and comfort while delivering premium quality you can feel in every stitch
Broadmeadows VIC 3047
E-Mail
0422 729 032","[""Clothing"", ""Victoria""]"
1413,Clothing,clothing,7834,Zikkies Thrift Store,https://ummahdirectory.com.au/clothing/zikkies-thrift-store/,Thrift store located in the heart of Coburg,"428 Sydney Rd, Coburg VIC 3058",melbourne@zikkies.org.au,(03) 7013 0521,"Zikkies Thrift Store is more than just a secondhand shop—it’s a community hub where sustainable shopping meets social impact. We offer quality pre-loved clothing, homewares, and unique finds, with support from the National Zakat Foundation to uplift the Muslim community. Every purchase and donation contributes to a greater purpose, making secondhand shopping a choice that benefits both the community and the environment. Visit us in-store and be part of something meaningful!
Products:
– Clothing for men, women, and children
– Islamic wear for men, women, and children (including hijabs)
– Shoes and accessories
– Homewares and decor (including Islamic art and prayer mats)
– Books and educational resources, including Islamic books
– Toys and games
– Small furniture pieces
Services:
– Community-driven thrift shopping experience
– Donation drop-off point for preloved goods
– Affordable, sustainable fashion and homeware options
– Volunteering opportunities
– Community building initiatives
428 Sydney Rd, Coburg VIC 3058
melbourne@zikkies.org.au
(03) 7013 0521","[""Clothing"", ""Victoria""]"
1413,Clothing,clothing,5026,Cherry Blossom Boutique,https://ummahdirectory.com.au/clothing/cherry-blossom-boutique/,Largest range of hijabs in Australia located in Dallas storefront location,"20 Dargie Ct, Dallas VIC 3047",,(03) 9309 2929,"Largest range of hijabs in Australia located in Dallas
20 Dargie Ct, Dallas VIC 3047
(03) 9309 2929","[""Clothing"", ""Victoria""]"
1413,Clothing,clothing,4328,EMAAN,https://ummahdirectory.com.au/clothing/emaan/,Islamic clothing and book store located in the centre of Coburg,"338 Sydney Road, Coburg VIC 3058",info@emaan.com.au,(03) 9386 6441,"EMAAN is a clothing & lifestyle business inspired by Islam. Ethically made modest clothing for men, women and children and lifestyle items. EMAAN has been serving customers from around the world since 2004. A portion of sales goes to charity and recycling options are available in store.
338 Sydney Road, Coburg VIC 3058
info@emaan.com.au
(03) 9386 6441","[""Clothing""]"
1413,Clothing,clothing,4188,Hijab House,https://ummahdirectory.com.au/clothing/hijab-house/,Leading modest fashion brand located in the heart of Greenacre,"1/173 Waterloo Road, Greenacre NSW 2190",sales@hijabhouse.com.au,(02) 9759 6837,"A leading modest fashion brand, known and loved worldwide with two store locations in Sydney – Greenacre and Merrylands. More than just hijabs, it includes modest fashion, fitness, swimwear, clothing organisers and accessories.
1/173 Waterloo Road, Greenacre NSW 2190
sales@hijabhouse.com.au
(02) 9759 6837","[""Clothing""]"
1378,Commerce,commerce,5070,Jusmin Travel,https://ummahdirectory.com.au/commerce/travel-agents/jusmin-travel/,Family favourite travel agency with Hajj and Umrah packages since 1989,"15 Collyer Court, Attwood VIC 3049",sales@jusmintravel.com.au,(03) 9333 4464,"Established in 1989, Jusmin Travel is a complete travel management company teamed by hardcore professionals with average experience of 20 years in overseas client servicing and growing in geometric proportions. We are a boutique travel agency situated in Tullamarine, Melbourne, having registered IATA and travel licensing agent ship with professional staff. Jusmintravel.com, is a professional at the epitome of success on travels and tourism, always step in to help you to zero down on the right kind of places you want to visit and to help you getting closer to your destination of dreams.
15 Collyer Court, Attwood VIC 3049
sales@jusmintravel.com.au
(03) 9333 4464","[""Commerce"", ""Travel Agents"", ""Victoria""]"
1378,Commerce,commerce,5065,Pasla Air Travel,https://ummahdirectory.com.au/commerce/travel-agents/pasla-air-travel/,Family and corporate travel agent located in Werribee since 2004,"2/14 Station Pl, Werribee VIC 3030",info@paslaairtravel.com.au,(03) 9749 7033,"Located in Station Place Business Centre, Pasla Air Travel is one of Victoria’s leading travel agency.We are also members of various travel and business organizations in Australia like IATA, TCF and BLA.
2/14 Station Pl, Werribee VIC 3030
info@paslaairtravel.com.au
(03) 9749 7033","[""Commerce"", ""Travel Agents"", ""Victoria""]"
1378,Commerce,commerce,4644,Cheetah Travel,https://ummahdirectory.com.au/commerce/travel-agents/cheetah-travel/,Travel agent in the heart of Roxburgh Park offering Hajj & Umrah packages,"23 Sheridan Way, Roxburgh Park VIC 3064",info@cheetahtravel.com.au,0475 001 002,"Authorised Umrah Visa Agent in Australia
23 Sheridan Way, Roxburgh Park VIC 3064
info@cheetahtravel.com.au
0475 001 002","[""Commerce"", ""Travel Agents"", ""Victoria""]"
1378,Commerce,commerce,3086,Half Price Printing,https://ummahdirectory.com.au/commerce/half-price-printing/,"Catalogues, business cards, flyers, stickers & labels","1 Northcorp Blvd, Broadmeadows VIC 3047",contactus@halfpriceprinting.com.au,1300 782 840,"Half Price Printing
offers a variety of affordable printing services across Australia. We can print anything.
Contact us today for a fast quote or sample
WELCOME TO THE WORLD OF HALF PRICE PRINTING
Your one-stop shop for affordable, quality printing. You will find a lot of standard products listed online to provide you with quick and easy instant quotes. If there’s something you don’t see listed, we will be more than happy to chat about your needs. You can email, call or even come in and see us face-to-face.
1 Northcorp Blvd, Broadmeadows VIC 3047
E-Mail
1300 782 840","[""Commerce"", ""Print Design & Signmakers""]"
1378,Commerce,commerce,485,World Options GH,https://ummahdirectory.com.au/commerce/world-options-gh/,World Options provides business parcel delivery services from the world’s leading couriers.,"Office 9B/1 International Dr, Westmeadows VIC 3049",supportgh@worldoptions.com,1300 371 444,"The World Options shipping portal allows businesses to compare quotes from leading carriers in seconds
Office 9B/1 International Dr, Westmeadows VIC 3049
supportgh@worldoptions.com
1300 371 444","[""Commerce""]"
1571,Computers,computers,4592,Softkodes,https://ummahdirectory.com.au/computers/softkodes/,Service provider of all things IT & Software technology related,10 Elderwood Street Wollert VIC 3750,info@softkodes.com.au,0433 309 398,"We provide a broad range of software and IT solutions including:
– Website
– Software
– Social Media
– Pragmatic Marketing
– SEO
– LMS
– ERP
– Mobile Apps
– Graphic Design
10 Elderwood Street Wollert VIC 3750
info@softkodes.com.au
0433 309 398","[""Computers"", ""Victoria"", ""Website Development""]"
1571,Computers,computers,4525,Microdell,https://ummahdirectory.com.au/computers/microdell/,Online retailer of hardware & software services and IT setups,10 Elderwood Street Wollert VIC 3750,info@microdell.com.au,0412 039 398,"We provide computing hardware & software services and IT Setups as well. Online Great deals, New & used computers and laptops, Mobile phone accessories, Drones, and other gadgets and services are available. We deliver our products throughout AUS
– Mini PC
– Computers (Desktops)
– Laptops
– Monitors
– Office setup
– Software and hardware updates
– Thin Clients
– All in one (AIO) PCs
10 Elderwood Street Wollert VIC 3750
info@microdell.com.au
0412 039 398","[""Computers"", ""Victoria""]"
1492,Education,education,8004,Malek Fahd Islamic School – Beaumont Hills,https://ummahdirectory.com.au/education/malek-fahd-islamic-school-beaumont-hills/,"July 18, 2025","July 18, 2025",,,"Beaumont Hills NSW 2155
Australia’s oldest Islamic school with new campus in Hills District
Islamic Co-ed Primary & Secondary School in Beaumont Hills
Malek Fahd Islamic School is Australia’s oldest Islamic school, founded in 1989 through a gift from King Fahd of Saudi Arabia. This same spirit of charity is one we hope to pay forward to future generations as we remain committed to promoting religious tolerance, cultural diversity, and academic excellence within the broader Australian society.
share this article:
Twitter
Menu
Suggest a Listing
Contact us
Get Listed
Subscribe for Offers, News and More
Full Name*
Email*
Post Code
Subscribe
Terms & Policies
ABN 88 675 131 932","[""Education"", ""General & Islamic Schools"", ""New South Wales""]"
1492,Education,education,7999,Malek Fahd Islamic School – Hoxton Park,https://ummahdirectory.com.au/education/malek-fahd-islamic-school-hoxton-park/,"July 18, 2025","July 18, 2025",,,"Hoxton Park NSW 2171
Australia’s oldest Islamic school with new Hoxton Park campus
Islamic Co-ed Primary & Secondary School in Hoxton Park
Malek Fahd Islamic School is Australia’s oldest Islamic school, founded in 1989 through a gift from King Fahd of Saudi Arabia. This same spirit of charity is one we hope to pay forward to future generations as we remain committed to promoting religious tolerance, cultural diversity, and academic excellence within the broader Australian society.
share this article:
Twitter
Menu
Suggest a Listing
Contact us
Get Listed
Subscribe for Offers, News and More
Full Name*
Email*
Post Code
Subscribe
Terms & Policies
ABN 88 675 131 932","[""Education"", ""General & Islamic Schools"", ""New South Wales""]"
1492,Education,education,7994,Malek Fahd Islamic School – Greenacre,https://ummahdirectory.com.au/education/malek-fahd-islamic-school-greenacre/,"July 18, 2025","July 18, 2025",,,"Greenacre NSW 2190
Australia’s oldest Islamic school includes separate primary and secondary campuses
Islamic Co-ed Primary & Secondary School in Greenacre
Malek Fahd Islamic School is Australia’s oldest Islamic school, founded in 1989 through a gift from King Fahd of Saudi Arabia. This same spirit of charity is one we hope to pay forward to future generations as we remain committed to promoting religious tolerance, cultural diversity, and academic excellence within the broader Australian society.
share this article:
Twitter
Menu
Suggest a Listing
Contact us
Get Listed
Subscribe for Offers, News and More
Full Name*
Email*
Post Code
Subscribe
Terms & Policies
ABN 88 675 131 932","[""Education"", ""General & Islamic Schools"", ""New South Wales""]"
1492,Education,education,7139,Melbourne City College Australia,https://ummahdirectory.com.au/education/melbourne-city-college-australia/,Vocational centre offering a variety of certificates and diplomas in the CBD,"Level 9/120 Spencer St, Melbourne VIC 3000",webmaster@melbournecitycollege.edu.au,(03) 8592 6425,"Melbourne City College Australia stands to serve as an oasis to both local and international students alike to bridge the gap between their dream and reality.
From decked-up stellar courses that will help students leap into the top tiers of their careers to English courses that will instil confidence in them to face the world and their competitive workspace, Melbourne City College Australia has it all.
Situated in the prime location of Melbourne in Spencer’s Street, Melbourne City College Australia, brings together both local and international students alike and aids them in making their career goals a reality.
Let it be using these courses as a stepping stone to future studies or restarting their life with these courses or adding them up to boost their standings, there are numerous reasons why students rush into Melbourne City College Australia.
We have brilliant staff to help them pursue what they truly want and have every facility they need to back them up and prepare them for the future that awaits them.
Our courses range from all the in-demand job sectors like aged care, child care, and commercial cookery to all kinds of management and English courses.
Let Melbourne City College Australia be the catalyst in your career path
Level 9/120 Spencer St, Melbourne VIC 3000
E-Mail
(03) 8592 6425","[""Education"", ""Training""]"
1492,Education,education,2570,Al-Bayan Institute,https://ummahdirectory.com.au/education/al-bayan-institute/,Educational institute teaching Islamic tradition in Western Sydney since 2004,"22 Auburn Road, Regents Park NSW 2143",nfo@albayan.org.au,(02) 8710 8122,"AlBayan Institute was established in 2003 by few brothers and Sheikh Tarek El-Bikai who has dedicated numerous years acquiring and developing his traditional Islamic sacred knowledge from some of the most respected and qualified scholars of our time.
AlBayan Institute also caters for older hearts with the introduction of the adult syllabus in 2009. This syllabus is taught by respected Islamic scholars and encompasses a wide variety of subjects preparing seekers of knowledge for their afterlife. These subjects include Arabic, recitation and memorisation of the Holy Quran, Islamic Adab (Manners), Fiqh (traditional Islamic Sacred Law), Hadeeth, Aqeedah (Islamic Creed) and Science of the Quran.
Parking available in Al-Bayan carpark. Entry via Gunya Street. Please park in parking spaces.
Please be mindful of neighbours when parking on street.
Womens prayer area available
22 Auburn Road, Regents Park NSW 2143
info@albayan.org.au
(02) 8710 8122","[""Education"", ""General & Islamic Schools"", ""Mosques"", ""New South Wales""]"
1395,Event Planning,event-planning,8079,Graze Me Away,https://ummahdirectory.com.au/event-planning/graze-me-away/,Boutique catering specialist for events with grazing boxes and more,Coolaroo VIC 3048,grazemeaway@gmail.com,0450 615 360,"Graze Me Away is a boutique catering business specialising in gourmet grazing boxes, platters, and styled grazing tables for all occasions. From intimate gatherings to large events, we craft visually stunning and delicious spreads using fresh, high-quality ingredients. Based in Coolaroo, Victoria, we pride ourselves on personalised service, unique presentation, and creating memorable experiences through food.
Products/Services:
Grazing Boxes
Perfect for gifts, picnics, or small gatherings. Available in various sizes and can be customised to include:
• Sweet, savoury, or mixed selections
• Breakfast or brunch options
• Seasonal fruits, cheeses, crackers, dips, deli meats, sweets, and more
• Dietary options available (GF, vegan, 100% halal)
Grazing Platters & Catering
Ideal for entertaining at home, parties, or work functions. Available in small to extra-large sizes with a wide range of inclusions:
• Cheese & charcuterie
• Fruit & dessert platters
• Brunch platters
• Kids platters
• Mini sliders, wraps, focaccias, and more
Styled Grazing Tables
For larger events like weddings, engagements, corporate events, baby showers, and birthdays. Each table is uniquely styled with:
• Rustic or modern setups
• Custom florals and props
• Variety of finger foods, fresh produce, pastries, sliders, and more
• Includes setup, styling, hire of stands and tableware.
Coolaroo VIC 3048
grazemeaway@gmail.com
0450 615 360","[""Catering"", ""Event Planning"", ""Victoria""]"
1395,Event Planning,event-planning,7183,Mocktails.co,https://ummahdirectory.com.au/event-planning/mocktails-co/,Assortment of curated mocktails for your next event or function,Melbourne VIC 3000,,,"from your vision, to our creation ✧°｡⋆
— styling & setups for all events
— 100% alcohol free
Melbourne VIC 3000","[""Event Planning""]"
1395,Event Planning,event-planning,7144,Sufi Trek,https://ummahdirectory.com.au/event-planning/sufi-trek/,Camel and horse trekking only 25 mins away from Brisbane CBD,Burbank QLD 4156,info@sufitrek.com.au,0456 786 039,"Camel and horse rides, treks, camps, events, lessons, therapy.
Products/Services: Sufi Trek offers personalised experiences with camels and horses. Feel far away from home, right here in Brisbane as you ride or trek with our majestic animals.
Burbank QLD 4156
E-Mail
0456 786 039","[""Event Planning"", ""Leisure""]"
